TIME:	7200
 -32.0  66.0     0.1624     0.0771     0.0024     0.0011
 -30.0  20.0     0.1044     0.0137     0.0063     0.0010
 -30.0  62.0     0.1420     0.0769     0.0046     0.0020
 -28.0  14.0     0.0526     0.0060     0.0018     0.0002
 -28.0  66.0     0.0490     0.0082     0.0022     0.0001
 -26.0  18.0     0.0406     0.0058     0.0016     0.0002
 -26.0  60.0     0.1509     0.0709     0.0019     0.0003
 -26.0  62.0     0.1825     0.1169     0.0038     0.0023
 -26.0  64.0     0.1385     0.0921     0.0047     0.0028
 -26.0  66.0     0.2115     0.1618     0.0022     0.0003
 -26.0  70.0     0.1740     0.2888     0.0022     0.0012
 -24.0  18.0     0.0391     0.0046     0.0016     0.0002
 -24.0  24.0     0.0292     0.0039     0.0010     0.0002
 -24.0  30.0     0.0328     0.0060     0.0014     0.0002
 -24.0  60.0     0.1801     0.0676     0.0028     0.0013
 -24.0  62.0     0.1827     0.0467     0.0071     0.0024
 -22.0  -8.0     0.0660     0.0072     0.0023     0.0003
 -22.0  14.0     0.0351     0.0068     0.0014     0.0002
 -22.0  20.0     0.0452     0.0058     0.0016     0.0003
 -22.0  58.0     0.2000     0.0741     0.0024     0.0010
 -20.0  -2.0     0.0573     0.0061     0.0021     0.0004
 -20.0   0.0     0.0760     0.0129     0.0027     0.0006
 -20.0  60.0     0.1617     0.0948     0.0022     0.0005
 -20.0  62.0     0.1009     0.0474     0.0030     0.0021
 -18.0   8.0     0.0918     0.0146     0.0035     0.0006
 -18.0  16.0     0.0614     0.0073     0.0022     0.0003
 -18.0  28.0     0.0174     0.0020     0.0005     0.0001
 -18.0  62.0     0.1844     0.0575     0.0069     0.0026
 -18.0  70.0     0.1660     0.1252     0.0023     0.0004
 -18.0  72.0     0.1157     0.0385     0.0023     0.0002
 -16.0 -14.0     0.0444     0.0030     0.0018     0.0002
 -16.0  -4.0     0.0596     0.0138     0.0021     0.0004
 -16.0  24.0     0.0998     0.0241     0.0037     0.0007
 -16.0  28.0     0.0180     0.0052     0.0006     0.0002
 -16.0  58.0     0.1894     0.0832     0.0023     0.0003
 -16.0  70.0     0.0445     0.0025     0.0022     0.0001
 -16.0  78.0     0.0608     0.0117     0.0021     0.0004
 -14.0 -12.0     0.0376     0.0049     0.0014     0.0002
 -14.0  -8.0     0.0335     0.0018     0.0014     0.0001
 -14.0  30.0     0.0161     0.0024     0.0004     0.0001
 -14.0  62.0     0.1072     0.0683     0.0036     0.0024
 -14.0  78.0     0.0446     0.0064     0.0015     0.0002
 -12.0   2.0     0.0895     0.0059     0.0045     0.0015
 -12.0  26.0     0.0234     0.0036     0.0007     0.0001
 -12.0  68.0     0.1377     0.0913     0.0042     0.0025
 -10.0  -6.0     0.0533     0.0057     0.0018     0.0002
 -10.0  60.0     0.1612     0.0756     0.0061     0.0029
  -8.0 -16.0     0.0818     0.0104     0.0066     0.0030
  -8.0  54.0     0.0382     0.0061     0.0018     0.0003
  -8.0  68.0     0.2195     0.1863     0.0026     0.0008
  -8.0  80.0     0.0371     0.0061     0.0017     0.0002
  -8.0  82.0     0.0414     0.0045     0.0016     0.0001
  -6.0  52.0     0.0382     0.0001     0.0015     0.0002
  -6.0  60.0     0.2088     0.0439     0.0079     0.0020
  -6.0  66.0     0.0695     0.0303     0.0016     0.0000
  -6.0  68.0     0.1188     0.0577     0.0044     0.0020
  -6.0  74.0     0.0298     0.0032     0.0018     0.0002
  -6.0  76.0     0.0230     0.0023     0.0008     0.0001
  -4.0  60.0     0.1298     0.1052     0.0056     0.0038
  -4.0  66.0     0.4233     0.3972     0.0041     0.0023
  -4.0  68.0     0.1519     0.0959     0.0071     0.0038
  -4.0  74.0     0.0307     0.0015     0.0019     0.0003
  -4.0  76.0     0.0273     0.0069     0.0012     0.0002
  -2.0  50.0     0.0170     0.0022     0.0008     0.0002
  -2.0  60.0     0.0456     0.0037     0.0023     0.0005
  -2.0  66.0     0.1406     0.0988     0.0027     0.0004
  -2.0  68.0     0.0674     0.0175     0.0048     0.0017
  -2.0  70.0     0.0713     0.0155     0.0043     0.0007
   0.0  42.0     0.0296     0.0037     0.0012     0.0002
   0.0  46.0     0.0304     0.0029     0.0015     0.0002
   0.0  48.0     0.0201     0.0019     0.0011     0.0001
   0.0  50.0     0.0173     0.0018     0.0006     0.0001
   0.0  64.0     0.0907     0.0126     0.0030     0.0001
   0.0  66.0     0.1332     0.0589     0.0034     0.0009
   0.0  76.0     0.0238     0.0054     0.0008     0.0001
   2.0  50.0     0.0163     0.0015     0.0005     0.0001
   2.0  64.0     0.0605     0.0088     0.0023     0.0004
   2.0  66.0     0.1441     0.0417     0.0044     0.0022
   2.0  70.0     0.1035     0.0504     0.0032     0.0015
   2.0  76.0     0.0215     0.0031     0.0008     0.0001
   4.0   4.0     0.0324     0.0040     0.0022     0.0002
   4.0  50.0     0.0141     0.0034     0.0005     0.0001
   4.0  56.0     0.0370     0.0037     0.0016     0.0002
   4.0  70.0     0.1275     0.0380     0.0037     0.0011
   6.0 -10.0     0.0324     0.0042     0.0014     0.0002
   6.0  -8.0     0.0470     0.0097     0.0029     0.0011
   6.0   0.0     0.0277     0.0021     0.0012     0.0001
   6.0   4.0     0.0317     0.0042     0.0012     0.0001
   6.0  46.0     0.0554     0.0118     0.0022     0.0004
   6.0  48.0     0.0231     0.0021     0.0008     0.0001
   6.0  64.0     0.0823     0.0069     0.0029     0.0003
   8.0  -2.0     0.0159     0.0082     0.0005     0.0002
   8.0   6.0     0.0316     0.0062     0.0011     0.0002
   8.0  48.0     0.0218     0.0025     0.0008     0.0001
   8.0  56.0     0.0362     0.0022     0.0017     0.0002
   8.0  60.0     0.0427     0.0051     0.0014     0.0001
   8.0  64.0     0.0711     0.0155     0.0028     0.0003
   8.0  74.0     0.0874     0.0150     0.0053     0.0006
  10.0  -4.0     0.0166     0.0037     0.0006     0.0001
  10.0  -2.0     0.0409     0.0202     0.0017     0.0006
